lat,long,name,phone_1,phone_2,address,health,human,tech,material,subcategory,description,hours,verified,link
47.661139,-122.337736,Forty Fifth Street Clinic(Neighborcare Health),206-633-3350,,"1629 N. 45th St.; Seattle, WA 98103",TRUE,,,,Physical,"Neighborhood clinic for U. District, Wallingford, etc. Unlike other neighborhood clinics, they are not strict about geographic area. Outpatient services. Sliding scale fees and medical coupons. In addition, there is a drop-in clinic, including prenatal care, for homeless youth ages 14-23 only, Wednesday and Thursday evenings 6:00 pm - 9:00 pm. No appointment needed for homeless youth clinic only.","Mon: 7:30 am - 7:00 pm, Tue: 7:30 am - 7:00 pm, Wed: 8:45 am - 5:30 pm, Thu: 7:30 am - 5:30 pm, Fri: 7:30 am - 5:30 pm, Sat: 9:30 am - 1:45 pm, Sun: CLOSED",Verified 10/2012,http://www.neighborcare.org/clinics/45th-street-medical-dental-clinic
47.601304,-122.304391,Carolyn Downs Family Medical Center (Country Doctor Clinics),206-299-1900,,"2101 E. Yesler Way; Seattle, WA 98122",TRUE,,,,Physical,"Neighborhood clinic for Central Area, founded by the Seattle Black Panther Party and now a partner with the Country Doctor clinic. Outpatient services. Sliding scale fees and medical coupons. Additional services for Hispanic population.","Mon: 9:00 am – 12:30 pm; 1:30 pm – 5:00 pm, Tue: 9:00 am – 12:30 pm; 1:30 pm – 5:00 pm, Wed: 10:00 am – 12:30 pm; 1:30 pm – 5:00 pm; 5:30 pm – 8:30 pm, Thu: 9:00 am – 12:30 pm; 1:30 pm – 5:00 pm, Fri: 9:00 am – 12:30 pm; 1:30 pm – 5:00 pm, Sat: 9:00 am – 12:00 noon, Sun: CLOSED",Verified 10/2012,http://www.countrydoctor.org/find-a-clinic/carolyn-downs-family-medical-center
47.623362,-122.307027,Country Doctor Community Clinic,206-299-1600,,"500 19th Ave. E.; Seattle, WA 98112",TRUE,,,,Physical,Neighborhood clinic for Capitol Hill. Outpatient services. WIC provider. Outreach services for diabetics. Onsite pharmacy. Sliding scale fees and medical coupons. By appointment only.,"Mon: 9:00 am – 12:30 pm; 1:30 pm – 5:00 pm, Tue: 9:00 am – 12:30 pm; 1:30 pm – 5:00 pm; 5:30 pm – 8:30 pm, Wed: 9:00 am – 12:30 pm; 1:30 pm – 5:00 pm; 5:30 pm – 8:30 pm, Thu: 9:00 am – 12:30 pm; 1:30 pm – 5:00 pm; 5:30 pm – 8:30 pm, Fri: 9:00 am – 12:30 pm; 1:30 pm – 5:00 pm, Sat (at Carolyn Downs Clinic, 2101 E. Yesler Way): 9:00 am – 12:00 noon, Sun: CLOSED",Verified 10/2012,http://countrydoctor.org/country-doctor-community-clinic/
47.610764,-122.342683,Pike Market Medical Clinic(Neighborcare Health),206-728-4143,,"1930 Post Alley; Seattle, WA 98101",TRUE,,,,Physical,"Downtown neighborhood clinic for anyone age 18+. Primary care for elderly, homeless, HIV+. Sliding scale fees and medical coupons. Low cost pharmacy.","Mon: 8:00 am – 5:00 pm; walk-in appointments available until 3:00 pm, Tue: 8:00 am – 5:00 pm; walk-in appointments available until 3:00 pm, Wed: 9:30 am – 5:00 pm; walk-in appointments available until 3:00 pm, Thu: 8:00 am – 5:00 pm; walk-in appointments available until 3:00 pm, Fri: 8:00 am – 4:00 pm; walk-in appointments available until 2:00 pm, Sat: CLOSED, Sun: CLOSED",Verified 10/2012,https://www.neighborcare.org/clinics/neighborcare-health-pike-place-market
47.600582,-122.329894,Pioneer Square Clinic (UW Medicine),206-744-3000,,"206 Third Ave S; Seattle, WA 98104",TRUE,,,,Physical,"Neighborhood clinic for age 18+ for Downtown. Primary care for elderly, homeless, low income. Sliding scale fees and medical coupons. A University of Washington Medical clinic.","Mon: 7:00 am – 5:00 pm, Tue: 7:00 am – 5:00 pm, Wed: 8:00 am – 5:00 pm, Thu: 7:00 am – 5:00 pm, Fri: 7:00 am – 5:00 pm, Sat: CLOSED, Sun: CLOSED",Verified 10/2012,http://www.uwmedicine.org/locations/pioneer-square
47.662638,-122.283265,Children's Hospital,206-987-2000,,"4800 Sand Point Way NE; Seattle, WA 98105",TRUE,,,,Physical,"Extensive services for children. Sliding scale fees and medical coupons. Referral from a primary care provider is required for non-urgent services. Urgent care (less expensive than an emergency room visit) does not require a referral or appointment. Available at Children’s Hospital clinics in Seattle, Bellevue, and Mill Creek. Urgent care hours only: Monday through Friday: 5 pm to 10:30 pm; Saturday, Sunday and holidays: 11 am to 8 pm.",,Verified 10/2012,http://www.seattlechildrens.org/
47.603821,-122.324176,Harborview Madison Clinic,New Patients: 206-744-5155,Other: 206-520-5000,"Harborview Medical Center - 2nd Floor, West Clinic; 325 Ninth Avenue, Seattle",TRUE,,,,Physical,"Medical care and social services for persons living with HIV/AIDS regardless of sexual orientation, race, or ability to pay. New patients: call 206-744-5155 to schedule first appointment. Routine appointments: 206-520-5000. Established patients may be seen on an urgent walk-in basis by calling the clinic and speaking with a triage nurse.",,Verified 10/2012,http://www.uwmedicine.org/locations/madison-harborview
47.616322,-122.335208,Urban Rest Stop,206-332-0110,,"1924 Ninth Ave; Seattle, WA 98101",TRUE,,,,Physical,"Besides the showers, laundry facilities, and hygiene supplies for which they are generally known, Urban Rest Stop also has a Health Room offering free health care. Services: emergency first aid, preventative health care, prenatal care, referrals to other community health services. On the fourth Monday of every month, foot care is also available. Health Room: Monday, Wednesday and Friday, 8:30 am to 11:30 pm.",,Needs verification 10/2012,https://urbanreststop.org/
47.601304,-122.304391,Odessa Brown Children's Clinic (operated by Children's Hospital),206-987-7200,,"2101 E. Yesler Way Suite 100; Seattle, WA 98122",TRUE,,,,Physical,"Outpatient medical, dental, and Mental Health services for youth (newborn to 18 years). Medical coupons and insurance accepted. WIC provider. No child will be refused services.",,Verified 10/2012,http://www.seattlechildrens.org/contact/odessa-brown/
47.440504,-122.212245,Cedar River Clinics,Main: 425-255-0471,Toll Free: 1-800-572-4223,"4300 Talbot Road South, Suite 403; Renton, WA 98055",TRUE,,,,Physical,"Pregnancy testing, pregnancy options counseling, all methods of birth control (Take Charge provider), STD and HIV testing and counseling, first and second trimester abortion. Teens welcome. Medical interpreters arranged for limited English clients. Payment options for abortion include insurance, Alaska Medicaid, Oregon Health Plan, WA DSHS Medical Coupons. Phones are answered Monday to Friday 8:00 am to 5:00pm and Saturday 9:00 am to 2:00 pm. Also operates similar clinics in Tacoma and Yakima.",,Verified 10/2012,http://www.cedarriverclinics.org/
47.623362,-122.307027,Country Doctor Free Teen Clinic,206-299-1600 ext. 7,,500 19th Ave. E.,TRUE,,,,Physical,"No appointments: drop-in medical services only. Serves homeless youth ages 12-23. No money, no insurance, no coupons necessary. No cost for medicine or lab work. STD, anonymous HIV testing, pregnancy tests, general physicals, and sick care. Licensed Acupuncturist, and Licensed Massage Therapist available Tuesdays only. Monday & Tuesday only, 6:00 p.m - 9:00 p.m. at Country Doctor Clinic, 500 19th Ave. E.",,Verified 10/2012,
47.597147,-122.317952,Seattle Indian Health Board,206-324-9360,,"611 12th Avenue S., Suite 200; Seattle, WA 98144 (The Leschi Center)",TRUE,,,,Physical,"Health services (including dental, in- and out-patient alcohol/drug counseling) targeting Native Americans but available to all. WIC provider. Sliding scale fee and medical coupons. Mon-Fri 8:30 a.m - 6:00 p.m.; Sat 9:00 a.m - 2:00 p.m. (limited services); Sun CLOSED",,Verified 10/2012,http://www.sihb.org/
